stop_id                     , stop_name                           , latitude          , longitude        , locality          , zone                , active
STOP_PAL_KARNA_364          , Karna Gao Mor                       , 28.136987431102458, 77.27731385007418, Palwal            , PALWAL              , TRUE
STOP_PAL_MAHESH_365         , Mahesh Pur                          , 28.135779778734623, 77.23735678376163, Palwal            , PALWAL              , TRUE
STOP_PAL_MANDKOLA_VILL_366  , Mandkola Village                    , 28.13261792734583 , 77.1774587886702 , Palwal            , PALWAL              , TRUE
STOP_PAL_MANUVASH_367       , Manuvash                            ,                   ,                  , Palwal            , PALWAL              , TRUE
STOP_PAL_SHILANI_368        , Shilani Mor                         ,                   ,                  , Palwal            , PALWAL              , TRUE
STOP_GGN_SEC7_369           , Sec 07 Gate                         ,                   ,                  , Gurgaon           , GURGAON             , TRUE
STOP_GGN_AMBEDKAR_370       , Sec-04/07 Ambedkar Chowk            ,                   ,                  , Gurgaon           , GURGAON             , TRUE
STOP_GGN_ESI_09_371         , Sec 09 ESI Hospital                 , 28.46745831823201 , 77.00106078217618, Gurgaon           , GURGAON             , TRUE
STOP_GGN_SEC09_372          , Sector - 09                         , 28.46547981191571 , 76.99543550362971, Gurgaon           , GURGAON             , TRUE
STOP_GGN_SIDDESH_373        , Slddeshvar School Sec 9             ,                   ,                  , Gurgaon           , GURGAON             , TRUE
STOP_GGN_GREENWOOD_374      , Green Wood Public School            , 28.46239260309172 , 76.99046632006366, Gurgaon           , GURGAON             , TRUE
STOP_GGN_ALPINE_10A_375     , Alpine Convent/Sec 10A              , 28.454998580880048, 76.99330106595671, Gurgaon           , GURGAON             , TRUE
STOP_GGN_ANAJ_376           , Anaj Mandi Under Pass               ,                   ,                  , Gurgaon           , GURGAON             , TRUE
STOP_GGN_RAJNAGAR_377       , Rajnagar Bery Bagh                  ,                   ,                  , Gurgaon           , GURGAON             , TRUE
STOP_GGN_DLF_PVR_378        , DLF PVR Phase 3                     ,                   ,                  , Gurgaon           , GURGAON             , TRUE
STOP_GGN_NATHU_PUR_379      , Nathu Pur                           , 28.485844531005196, 77.09535589250272, Gurgaon           , GURGAON             , TRUE
STOP_GGN_NEELKANTH_380      , Neelkanth Hospital                  , 28.483318913623137, 77.1075638036671 , Gurgaon           , GURGAON             , TRUE
STOP_GGN_CITY_COURT_381     , City Court                          , 28.483030111606634, 77.09507594495545, Gurgaon           , GURGAON             , TRUE
STOP_GGN_LAZOR_382          , Lazor Valley                        ,                   ,                  , Gurgaon           , GURGAON             , TRUE
STOP_GGN_GWAL_PAHARI_383    , Gwal Pahari                         , 28.434058846717626, 77.14687274536323, Gurgaon           , GURGAON             , TRUE
STOP_GGN_BANDHWARI_384      , Bandhwari                           , 28.422642723407698, 77.1448454415394 , Gurgaon           , GURGAON             , TRUE
STOP_GGN_SEC61_385          , Sec 61                              , 28.404917923387256, 77.09656248817778, Gurgaon           , GURGAON             , TRUE
STOP_GGN_AIPL_386           , AIPL Business Club                  , 28.400533715596442, 77.08587392081148, Gurgaon           , GURGAON             , TRUE
STOP_GGN_WORLDMARK_387      , WorldMark/Paras Trinity             , 28.400860927223295, 77.0924468286814 , Gurgaon           , GURGAON             , TRUE
STOP_GGN_M3M_388            , M3M Merlin                          , 28.390716343902966, 77.05767118065981, Gurgaon           , GURGAON             , TRUE
STOP_GGN_DLF1_389           , DLF1                                ,                   ,                  , Gurgaon           , GURGAON             , TRUE
STOP_GGN_BEHRAMPUR_390      , Behrampur                           , 28.415983414921104, 77.02224639988434, Gurgaon           , GURGAON             , TRUE
STOP_GGN_IREO_391           , Ireo Uptown                         ,                   ,                  , Gurgaon           , GURGAON             , TRUE
STOP_GGN_MG_METRO_392       , MG Road Metro                       , 28.479680828376072, 77.08032960534757, Gurgaon           , GURGAON             , TRUE
